longitude,latitude
145.146794260,-38.121052833
145.146792842,-38.121055792
145.146782368,-38.121078562
145.146781268,-38.121081612
145.146794823,-38.121156452
145.146789615,-38.121051147
145.146648642,-38.120999860
145.146657248,-38.121035002
145.146699443,-38.121049053
145.146688622,-38.121129532
145.146688653,-38.121145185
145.146576538,-38.121027613
145.146562687,-38.121038608
145.146528903,-38.121040505
145.146550993,-38.121110318
145.146555582,-38.121134823
145.146520218,-38.121108705
145.146483273,-38.121089242
145.146485752,-38.121066407
145.146487433,-38.121055112
145.146491030,-38.121033103
145.146483988,-38.120939210
145.146480080,-38.120935693
145.146488562,-38.120951648
145.146489395,-38.120948143
145.146507882,-38.120949135
145.146524648,-38.120954995
145.146231380,-38.121104840
145.146519388,-38.121091897
145.146519373,-38.121092113
145.146519368,-38.121092123
145.146439225,-38.121091132
