longitude,latitude
145.146788,-38.121067
145.146786,-38.121070
145.146776,-38.121093
145.146775,-38.121096
145.146788,-38.121171
145.146783,-38.121065
145.146642,-38.121014
145.146651,-38.121049
145.146693,-38.121063
145.146682,-38.121144
145.146682,-38.121160
145.146570,-38.121042
145.146556,-38.121053
145.146522,-38.121055
145.146544,-38.121125
145.146549,-38.121149
145.146514,-38.121123
145.146477,-38.121104
145.146479,-38.121081
145.146481,-38.121069
145.146485,-38.121047
145.146477,-38.120954
145.146474,-38.120950
145.146482,-38.120966
145.146483,-38.120962
145.146501,-38.120963
145.146518,-38.120969
145.146225,-38.121119
145.146513,-38.121106
145.146513,-38.121106
145.146513,-38.121106
145.146433,-38.121105
