longitude,latitude
145.146790,-38.121061
145.146789,-38.121064
145.146779,-38.121087
145.146777,-38.121090
145.146791,-38.121164
145.146786,-38.121059
145.146645,-38.121008
145.146653,-38.121043
145.146696,-38.121057
145.146685,-38.121137
145.146685,-38.121153
145.146573,-38.121036
145.146559,-38.121047
145.146525,-38.121048
145.146547,-38.121118
145.146552,-38.121143
145.146516,-38.121117
145.146479,-38.121097
145.146482,-38.121074
145.146484,-38.121063
145.146487,-38.121041
145.146480,-38.120947
145.146476,-38.120944
145.146485,-38.120960
145.146486,-38.120956
145.146504,-38.120957
145.146521,-38.120963
145.146228,-38.121113
145.146516,-38.121100
145.146516,-38.121100
145.146516,-38.121100
145.146435,-38.121099
